                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.2197,                0.75409,                 1.0781,                      1,                0.97933,                  0.995,                0.55772,                 1.5812,                 1.0036,                 1.5523,              0.0017941,              0.0017941,              0.0017941
                    107,                 1.1649,                0.88843,                 1.1183,                      1,                0.96656,                  0.995,                0.57446,                  1.547,                 1.0004,                 1.5408,              0.0017921,              0.0017921,              0.0017921
                    108,                 1.2318,                0.82989,                 1.0738,                0.98356,                   0.75,                0.83613,                0.52375,                 1.5397,                 1.0532,                 1.5146,              0.0017901,              0.0017901,              0.0017901
                    109,                 1.1241,                0.85083,                0.99195,                0.98356,                   0.75,                0.83613,                0.52375,                 1.5397,                 1.0532,                 1.5146,              0.0017881,              0.0017881,              0.0017881
                    110,                 1.0388,                0.79105,                0.98865,                0.95879,                   0.75,                0.87136,                 0.4696,                 1.6576,                 1.0622,                 1.5429,              0.0017862,              0.0017862,              0.0017862
                    111,                 1.0961,                0.86374,                 1.0147,                0.93851,                   0.75,                0.87573,                0.50596,                 1.6953,                 1.0321,                 1.5231,              0.0017842,              0.0017842,              0.0017842
                    112,                0.69652,                 1.7619,                0.65291,                0.99998,                   0.75,                0.80668,                0.48592,                 1.6434,                 1.1602,                 1.4634,              0.0017822,              0.0017822,              0.0017822
                    113,                 1.0898,                0.83069,                 1.0956,                0.99998,                   0.75,                0.80668,                0.48592,                 1.6434,                 1.1602,                 1.4634,              0.0017802,              0.0017802,              0.0017802
                    114,                 1.1344,                0.85523,                 1.0209,                      1,                0.74958,                0.79387,                0.49724,                 1.5829,                 1.4109,                  1.433,              0.0017782,              0.0017782,              0.0017782
                    115,                 1.1066,                0.85038,                0.96225,                 0.9903,                   0.75,                0.79633,                0.51846,                 1.4982,                 1.3748,                 1.3815,              0.0017763,              0.0017763,              0.0017763
                    116,                 1.1411,                0.90445,                 1.0686,                      1,                0.85474,                0.92553,                0.52768,                 1.4501,                 1.6445,                  1.374,              0.0017743,              0.0017743,              0.0017743
                    117,                 1.1097,                0.80274,                0.97707,                      1,                0.85474,                0.92553,                0.52768,                 1.4501,                 1.6445,                  1.374,              0.0017723,              0.0017723,              0.0017723
                    118,                 1.1215,                 0.8453,                0.99624,                      1,                0.68212,                0.87534,                0.45029,                 1.3711,                 2.4643,                 1.3615,              0.0017703,              0.0017703,              0.0017703
                    119,                  1.047,                0.85399,                0.95954,                      1,                0.70157,                0.87527,                0.48128,                 1.4252,                  2.235,                 1.3937,              0.0017683,              0.0017683,              0.0017683
                    120,                 1.0873,                 0.8002,                 1.0177,                0.85631,                0.74563,                0.82786,                 0.4417,                 1.5885,                 2.1043,                 1.4279,              0.0017664,              0.0017664,              0.0017664
                    121,                 1.1122,                0.86333,                 1.0012,                0.85631,                0.74563,                0.82786,                 0.4417,                 1.5885,                 2.1043,                 1.4279,              0.0017644,              0.0017644,              0.0017644
                    122,                 1.1532,                 0.8174,                0.98347,                0.99495,                   0.75,                 0.8596,                0.44587,                 1.5946,                 1.4989,                 1.4125,              0.0017624,              0.0017624,              0.0017624
                    123,                 1.0369,                0.77971,                0.93915,                      1,                0.86858,                0.90026,                0.45983,                 1.6037,                 1.2074,                   1.42,              0.0017604,              0.0017604,              0.0017604
                    124,                0.97652,                0.73481,                0.94879,                0.99496,                  0.875,                0.93147,                0.46708,                 1.6154,                 1.0739,                 1.4489,              0.0017584,              0.0017584,              0.0017584
                    125,                0.93882,                0.70838,                0.97298,                0.99496,                  0.875,                0.93147,                0.46708,                 1.6154,                 1.0739,                 1.4489,              0.0017565,              0.0017565,              0.0017565
                    126,                0.97419,                0.73968,                0.98145,                0.85287,                   0.75,                0.78403,                0.45393,                  1.677,                0.97817,                 1.5054,              0.0017545,              0.0017545,              0.0017545
                    127,                0.90894,                0.68576,                0.91375,                0.77011,                 0.8405,                0.79398,                0.50492,                 1.7234,                 1.0661,                 1.5627,              0.0017525,              0.0017525,              0.0017525
                    128,                 1.0054,                0.77882,                0.94546,                0.77695,                  0.875,                0.79398,                0.48691,                 1.6857,                 1.1478,                 1.5549,              0.0017505,              0.0017505,              0.0017505
                    129,                 1.0285,                0.78986,                0.97602,                0.77695,                  0.875,                0.79398,                0.48691,                 1.6857,                 1.1478,                 1.5549,              0.0017485,              0.0017485,              0.0017485
                    130,                 0.9343,                0.72121,                0.94942,                0.77637,                0.86865,                0.82525,                0.52758,                 1.5631,                0.97213,                 1.4785,              0.0017466,              0.0017466,              0.0017466
                    131,                 1.1445,                0.74195,                 1.0401,                0.83847,                   0.75,                0.83058,                0.54301,                 1.5148,                 1.0135,                   1.43,              0.0017446,              0.0017446,              0.0017446
                    132,                 1.0555,                0.74773,                0.99393,                0.83032,                   0.75,                0.79662,                0.51251,                  1.482,                  1.124,                 1.4004,              0.0017426,              0.0017426,              0.0017426
                    133,                 1.0484,                0.85735,                 1.0913,                0.83032,                   0.75,                0.79662,                0.51251,                  1.482,                  1.124,                 1.4004,              0.0017406,              0.0017406,              0.0017406
                    134,                 1.0735,                0.74839,                0.91588,                0.83409,                   0.75,                0.79794,                0.52735,                 1.4173,                 1.1106,                 1.3787,              0.0017386,              0.0017386,              0.0017386
                    135,                 1.0607,                0.73932,                 1.0108,                0.83442,                   0.75,                0.82513,                0.54068,                 1.4614,                 0.9704,                 1.4111,              0.0017367,              0.0017367,              0.0017367
                    136,                 1.1356,                0.70445,                 1.0275,                      1,                0.73919,                0.84532,                0.52521,                 1.6364,                 1.0194,                 1.5168,              0.0017347,              0.0017347,              0.0017347
                    137,                 1.0672,                0.74361,                0.90829,                      1,                0.73919,                0.84532,                0.52521,                 1.6364,                 1.0194,                 1.5168,              0.0017327,              0.0017327,              0.0017327
                    138,                 1.2216,                0.75819,                 1.0312,                0.97274,                   0.75,                0.84393,                0.51168,                 1.7501,                 1.0569,                 1.5477,              0.0017307,              0.0017307,              0.0017307
                    139,                 1.1713,                0.79098,                 1.0191,                0.96595,                   0.75,                0.83197,                 0.5023,                 1.7133,                0.99859,                 1.5372,              0.0017287,              0.0017287,              0.0017287
                    140,                 1.0752,                0.84878,                0.99927,                0.99051,                  0.875,                  0.971,                0.57134,                  1.517,                0.86059,                 1.4417,              0.0017268,              0.0017268,              0.0017268
                    141,                 1.1152,                0.77209,                 1.0189,                0.99051,                  0.875,                  0.971,                0.57134,                  1.517,                0.86059,                 1.4417,              0.0017248,              0.0017248,              0.0017248
